RecordID,Brainwave,TP9,AF7,AF8,TP10
0,Alpha,0.6163868,-0.07732675,0.70609206,0.4089607
1,Beta,0.47813994,-0.04296034,0.73200476,0.7453048
2,Delta,1.2506636,1.3897784,0.8546105,1.2232784
3,Theta,0.6377635,0.24174626,0.818242,-0.09790877
4,Gamma,-0.10688366,-0.47835955,0.5003361,0.06558894
5,Alpha,0.6307543,-0.07732675,0.70609206,0.38032538
6,Beta,0.48509046,-0.04296034,0.73200476,0.693445
7,Delta,1.2777361,1.3897784,0.8546105,1.2330493
8,Theta,0.60866785,0.24174626,0.818242,1.1836982
9,Gamma,-0.0955804,-0.47835955,0.5003361,0.34929308
10,Alpha,0.6307543,-0.07732675,0.70609206,0.44419876
11,Beta,0.48509046,-0.04296034,0.73200476,0.6786492
12,Delta,1.2777361,1.3897784,0.8546105,1.1650091
13,Theta,0.60866785,0.24174626,0.818242,1.1221504
14,Gamma,-0.0955804,-0.47835955,0.5003361,0.373274
15,Alpha,0.6307543,-0.07732675,0.70609206,0.48249263
16,Beta,0.48509046,-0.04296034,0.73200476,0.6682568
17,Delta,1.2777361,1.3897784,0.8546105,1.1023822
18,Theta,0.60866785,0.24174626,0.818242,1.0697491
19,Gamma,-0.0955804,-0.47835955,0.5003361,0.37828338
20,Alpha,0.6307543,-0.07732675,0.70609206,0.4888959
21,Beta,0.48509046,-0.04296034,0.73200476,0.674539
22,Delta,1.2777361,1.3897784,0.8546105,1.0447038
23,Theta,0.60866785,0.24174626,0.818242,1.0287465
24,Gamma,-0.0955804,-0.47835955,0.5003361,0.36700395
25,Alpha,0.6399253,-0.07732675,0.70609206,0.4931055
26,Beta,0.485718,-0.04296034,0.73200476,0.69378865
27,Delta,1.257835,1.3897784,0.8546105,1.0027633
28,Theta,0.5999327,0.24174626,0.818242,0.9938308
29,Gamma,-0.034841053,-0.47835955,0.5003361,0.3508818
30,Alpha,0.6682007,-0.07732675,0.70609206,0.54395473
31,Beta,0.4907811,-0.04296034,0.73200476,0.7182155
32,Delta,1.2375335,1.3897784,0.8546105,0.9752045
33,Theta,0.60878754,0.24174626,0.818242,0.9613786
34,Gamma,-0.016183535,-0.47835955,0.5003361,0.33827293
35,Alpha,0.8169076,-0.07732675,0.70609206,0.67529416
36,Beta,0.49827445,-0.04296034,0.73200476,0.74923325
37,Delta,1.2251558,1.3897784,0.8546105,0.9691324
38,Theta,0.5885574,0.24174626,0.818242,0.9347519
39,Gamma,-0.004838625,-0.47835955,0.5003361,0.32982755
40,Alpha,1.0772127,-0.07732675,0.8598643,0.8774905
41,Beta,0.53194994,-0.04296034,0.74673027,0.78838307
42,Delta,1.1820642,1.3897784,1.4452424,0.98557985
43,Theta,0.61811495,0.24174626,1.1582367,0.91793376
44,Gamma,-0.000295199,-0.47835955,0.23421925,0.3232983
45,Alpha,1.2225571,-0.07732675,0.8675704,1.0219709
46,Beta,0.56594825,-0.04296034,0.73001575,0.8262896
